state,year,cigsale,lnincome,age15to24,retprice,beer
1,1970,89.8000030517578,,0.178861781954765,39.5999984741211,
1,1971,95.4000015258789,,0.179927840828896,42.7000007629395,
1,1972,101.099998474121,9.49847602844238,0.180993899703026,42.2999992370605,
1,1973,102.900001525879,9.5501070022583,0.182059943675995,42.0999984741211,
1,1974,108.199996948242,9.53716278076172,0.183126002550125,43.0999984741211,
1,1975,111.699996948242,9.54003143310547,0.184192061424255,46.5999984741211,
1,1976,116.199996948242,9.5919075012207,0.185258120298386,50.4000015258789,
1,1977,117.099998474121,9.6174955368042,0.186324179172516,50.0999984741211,
1,1978,123,9.65407180786133,0.187390223145485,55.0999984741211,
1,1979,121.400001525879,9.64918041229248,0.188456282019615,56.7999992370605,
1,1980,123.199996948242,9.6121940612793,0.189522340893745,60.5999984741211,
1,1981,119.599998474121,9.60959434509277,0.185842230916023,68.8000030517578,
1,1982,119.099998474121,9.59757995605469,0.182162120938301,73.0999984741211,
1,1983,116.300003051758,9.62676906585693,0.178482010960579,84.4000015258789,
1,1984,113,9.67162132263184,0.174801900982857,90.8000030517578,18
1,1985,114.5,9.70319271087646,0.171121791005135,99,18.7000007629395
1,1986,116.300003051758,9.74594974517822,0.167441681027412,103,19.2999992370605
1,1987,114,9.76209163665771,0.16376157104969,110,19.3999996185303
1,1988,112.099998474121,9.78176975250244,0.160081461071968,114.400001525879,19.3999996185303
1,1989,105.599998474121,9.80252742767334,0.156401351094246,122.300003051758,19.3999996185303
1,1990,108.599998474121,9.81429004669189,0.152721241116524,139.100006103516,20.1000003814697
1,1991,107.900001525879,9.81925964355469,,144.399993896484,20.1000003814697
1,1992,109.099998474121,9.84528636932373,,172.199996948242,20.3999996185303
1,1993,108.5,9.85216045379639,,176.199996948242,20.2999992370605
1,1994,107.099998474121,9.87933444976807,,154.600006103516,21
1,1995,102.599998474121,9.92440414428711,,155.100006103516,20.6000003814697
1,1996,101.400001525879,9.94002723693848,,158.300003051758,21
1,1997,104.900001525879,9.93727016448975,,167.399993896484,20.7999992370605
1,1998,106.199996948242,,,180.5,
1,1999,100.699996948242,,,195.600006103516,
1,2000,96.1999969482422,,,270.700012207031,
